state,year,ndeath,nod,pod
CT,2015,366126,8451,0.02308221759722063
CT,2016,362773,10776,0.029704525970786138
CT,2017,375123,12594,0.03357298805991635
CT,2018,378957,12822,0.033834973361093736
CT,2019,379582,13631,0.035910554241244314
CT,2020,423064,16012,0.03784770152979218
CT,2021,434561,17709,0.040751471024781334
CT,2022,421684,18048,0.04279982166740972
CT,2023,401942,17193,0.04277482820904509
DC,2015,68282,1447,0.02119152924636068
DC,2016,69250,2586,0.037342960288808666
DC,2017,75096,4369,0.05817886438691808
DC,2018,74621,3610,0.04837780249527613
DC,2019,71722,3800,0.05298234851231143
DC,2020,83049,5672,0.06829702946453299
DC,2021,87859,6183,0.07037412217302724
DC,2022,83504,6643,0.07955307530178195
DC,2023,79075,7348,0.09292443882390136
DE,2015,103231,2391,0.023161647179626276
DE,2016,103860,2724,0.026227614095898324
DE,2017,109046,3866,0.03545292812207692
DE,2018,112610,4462,0.039623479264718944
DE,2019,111452,4905,0.04400997738936942
DE,2020,120656,5555,0.04603998143482297
DE,2021,135628,5500,0.040552098386763796
DE,2022,138170,6333,0.045834841137728885
DE,2023,130998,6563,0.050100001526740864
FL,2015,2318771,36892,0.015910152404010572
FL,2016,2360692,48380,0.02049399074508661
FL,2017,2433010,65444,0.026898368687346127
FL,2018,2505439,61872,0.024695073398314626
FL,2019,2490647,61701,0.024773081050827355
FL,2020,2690005,81365,0.03024715567443183
FL,2021,3085848,94483,0.030618163953636084
FL,2022,3078875,96803,0.031441029596849496
FL,2023,2817625,91301,0.032403531342886295
GA,2015,955205,15499,0.016225836338796384
GA,2016,969526,15538,0.016026388152561147
GA,2017,995416,17723,0.01780461636140066
GA,2018,1024484,17255,0.016842625165449144
GA,2019,1023149,16503,0.016129615530093858
GA,2020,1123026,19642,0.017490245105634242
GA,2021,1332648,25957,0.019477761569446694
GA,2022,1300404,30760,0.02365418746789459
GA,2023,1177524,30813,0.026167619513487624
HI,2015,133348,1884,0.014128445870954196
HI,2016,131591,2294,0.01743280315523098
HI,2017,135848,2312,0.01701902125905424
HI,2018,139301,2604,0.01869333314190135
HI,2019,139941,2750,0.019651138694163968
HI,2020,141990,3093,0.021783224170716247
HI,2021,148141,3228,0.0217900513699786
HI,2022,160140,3380,0.0211065317846884
HI,2023,156222,3588,0.022967315742981144
IA,2015,353743,3471,0.009812208298114734
IA,2016,347398,3725,0.01072257180524931
IA,2017,360641,3983,0.01104422403442759
IA,2018,362315,3681,0.01015966769247754
IA,2019,362642,3615,0.009968508887553013
IA,2020,386605,4804,0.01242611968288046
IA,2021,422876,5289,0.012507212516198601
IA,2022,418391,5814,0.013896092411165632
IA,2023,392946,5467,0.013912853165574914
ID,2015,153781,2570,0.016712077564848712
ID,2016,157810,2623,0.01662125340599455
ID,2017,164151,2807,0.01710010904593941
ID,2018,168698,2798,0.01658585164020913
ID,2019,170651,3060,0.01793133354038359
ID,2020,179366,3204,0.01786291716378801
ID,2021,208338,3748,0.017989997024066662
ID,2022,220433,4304,0.01952520720581764
ID,2023,199809,4448,0.022261259502825197
IL,2015,1253456,21218,0.01692759857545857
IL,2016,1240690,26227,0.021139043596708283
IL,2017,1268097,31024,0.024465005437281216
IL,2018,1290923,33526,0.025970565246726567
IL,2019,1263452,31908,0.02525461988267065
IL,2020,1388906,39716,0.028595167707533842
IL,2021,1513046,42827,0.028305153974168665
IL,2022,1469587,46565,0.03168577294164959
IL,2023,1353871,45005,0.033241719484352644
IN,2015,759639,14427,0.01899191589689313
IN,2016,755967,16365,0.02164777033918147
IN,2017,787073,20889,0.026540104920382227
IN,2018,795300,20276,0.02549478184332956
IN,2019,790000,19546,0.024741772151898735
IN,2020,856652,24290,0.028354571051021887
IN,2021,960394,30550,0.03180986136939631
IN,2022,954825,33132,0.034699552273976905
IN,2023,864398,28971,0.03351581100372745
KS,2015,307848,3926,0.012753046958239131
KS,2016,304518,3774,0.012393356057769984
KS,2017,312793,3771,0.012055896391543289
KS,2018,317070,4045,0.01275743526666036
KS,2019,317138,4433,0.013978142007580296
KS,2020,334511,4962,0.01483359291622697
KS,2021,383162,7079,0.018475214139189167
KS,2022,379670,8624,0.022714462559591225
KS,2023,349099,8492,0.02432547787303888
